lat,lon
50.886370768181344, 20.515008842267438
50.88911775711039, 20.515712424020393
50.892015557163944, 20.514440240478898
50.898757762947014, 20.511348553408794
50.89949869950879, 20.511074968104165
50.90016519403407, 20.510838933704026
50.90086639442649, 20.509999402335765
50.903132948662346, 20.507520137174996
50.904260645440715, 20.508507996065735
50.9067780859296, 20.510483127329053
50.916320843418966, 20.509658730580057
50.921429173250885, 20.509144913039357
50.92682115891809, 20.508105283917494
50.935455789599985, 20.508331347628534
50.93621055573956, 20.509121149195536
50.93655641021434, 20.50981784582162
50.93924648005481, 20.510785712540947
50.94113953757693, 20.511225725604504
50.947840466479285, 20.513708530341415
50.94828975253452, 20.513693357477155
50.95069602777438, 20.50575935830495
50.950115330885225, 20.50525296391079
50.94996477865724, 20.504981748962134
50.949955219769144, 20.504558805370866
50.9503614383775, 20.5033342477223
50.95119327828296, 20.501715203727308
50.951237923540326, 20.5015767194146
50.95146229619551, 20.499178700694376
50.952547948510244, 20.492611071106698
50.95425410734801, 20.480704566140513
50.95460982541215, 20.479834458460225
50.95463397892192, 20.47939238834595
50.9542334572682, 20.478308561787998
50.954432114927954, 20.477689299962073
50.954808439036455, 20.47729334804533
50.95769342803793, 20.478380093193916
50.95775621164395, 20.478383790388705
50.95833918518783, 20.476584600120653
50.95835324921057, 20.476418735602465
50.9581905081159, 20.476323044430288
50.958218636246926, 20.47562768943975
50.95819251726868, 20.475413979419724
50.95817443489054, 20.475251304628358
50.95786904255204, 20.474817505184717
50.95714975529042, 20.47484940218064
50.95489055946704, 20.473974028742074
50.952447339197015, 20.4730488476302
50.95136333293259, 20.47744495168567
50.951053876895166, 20.477770301373134
50.948111932293195, 20.480162577806745
50.94379715139454, 20.485950564336385
50.938249578192284, 20.489388169405526
50.93540978646168, 20.491876519292248
50.933287885144836, 20.49229703490421
50.932282946517255, 20.491998664623434
50.93104012147081, 20.49127560192951
50.93071444741889, 20.49083542301703
50.92913429284781, 20.490318691326813
50.92799503623763, 20.490084593515547
50.92737253343824, 20.490425617415752
50.926001264589196, 20.490560819946193
50.92509168085787, 20.49026309475277
50.92222609341369, 20.488257098917774
50.92130746618514, 20.493511952738338
50.918818714982685, 20.49272038672588
50.91851727353096, 20.49323463157846
50.91757076729197, 20.494231735753313
50.917055375746685, 20.494758395869294
50.916448127321665, 20.495490807027
50.91461032167626, 20.497343678895394
50.91305082225526, 20.498443022567834
50.91193655711009, 20.499027424622632
50.90863855320319, 20.500601273380408
50.90710344719228, 20.500738861797775
50.9066807434839, 20.500910100601406
50.90659654986067, 20.500296418601668
50.90641023310483, 20.499894946763195
50.905861234348954, 20.49929273894253
50.90555259749067, 20.498737895797163
50.90535454757093, 20.497242695770048
50.9050476338407, 20.495043290229262
50.90238545359196, 20.48486656576083
50.901184874668914, 20.48354558404101
50.89510073522802, 20.47748293081253
50.892952945978266, 20.487308414021808
50.892555283124395, 20.488113970042154
50.891919133863865, 20.488210529593086
50.888339389059716, 20.487304343159384
50.88681359620285, 20.493512691566938
50.88589930985998, 20.497133216362464
50.884548981286756, 20.49940772970157
50.88274433999249, 20.502502378385106
50.882747724454596, 20.502883252035012
50.8826800351658, 20.50328558335534
50.88300832729834, 20.505753215453336
50.88327908195625, 20.506364759161055
50.88323508443149, 20.507051404614405
50.88318770243265, 20.507158693054997
50.883015096181865, 20.50720160839583
50.88266311282085, 20.508306678626994
50.88264619047715, 20.509148892190872
50.883600601069034, 20.512024220220802
50.88380366462814, 20.512818154026238
50.883813817782844, 20.513381417874697
50.88507577264208, 20.515039693172696
50.8856165232154, 20.515177319186837
50.886370768181344, 20.515008842267438
